,cnt,casual,registered,season_encoding,yr,mnth,day,holiday,weekday,workingday,weathersit,temp,hum,windspeed
0,0.11079153244362633,0.09653755868544601,0.09153912792376552,1,0,1,1,0,6,0,2,0.35562310030395133,0.768802228412256,0.3881022601438281
1,0.08962264150943397,0.037852112676056336,0.0938492636442391,1,0,1,2,0,0,0,2,0.3799392097264438,0.6155988857938717,0.6357518618067264
2,0.15266912103083297,0.034624413145539906,0.17455963037828473,1,0,1,3,0,1,1,1,0.17325227963525835,0.25487465181058494,0.6351052791227166
3,0.1771744132535665,0.031103286384976524,0.20704591394744443,3,0,1,4,0,2,1,1,0.17629179331306988,0.467966573816156,0.38768057578469134
4,0.18154624942475842,0.023474178403755867,0.21628645682933872,3,0,1,5,0,3,1,1,0.20972644376899696,0.25487465181058494,0.4624705137211874
5,0.18223653934652556,0.02523474178403756,0.21628645682933872,3,0,1,6,0,4,1,1,0.18237082066869303,0.3676880222841225,0.188840095323155
6,0.1711919005982513,0.04284037558685446,0.19376263355472134,4,0,1,7,0,5,1,2,0.17325227963525835,0.341225626740947,0.41137923676817734
7,0.10780027611596871,0.01936619718309859,0.1257580132832804,4,0,1,8,0,6,0,2,0.13373860182370823,0.39275766016713093,0.6870989606042793
8,0.09203865623561897,0.015258215962441314,0.10799884493213976,4,0,1,9,0,0,0,1,0.10030395136778116,0.2506963788300835,0.954576160833788
9,0.1494477680625863,0.011443661971830986,0.18192318798729426,2,0,1,10,0,1,1,1,0.11550151975683891,0.3189415041782729,0.5647064809793647
10,0.14277496548550392,0.012030516431924883,0.17326017903551835,2,0,1,11,0,2,1,2,0.1367781155015198,0.6016713091922004,0.28039282990405556
11,0.13115508513575702,0.0067488262910798125,0.16127634998556165,2,0,1,12,0,3,1,1,0.14285714285714285,0.4818941504178272,0.7934280773751442
12,0.1592268752876208,0.01056338028169014,0.19462893444989893,1,0,1,13,0,4,1,1,0.13373860182370823,0.30083565459610023,0.7832317495712174
13,0.16095260009203868,0.015258215962441314,0.19448455096736933,1,0,1,14,0,5,1,1,0.12765957446808512,0.39554317548746515,0.29280721743704186
14,0.14104924068108607,0.06455399061032864,0.1452497834247762,1,0,1,15,0,6,0,2,0.21884498480243159,0.341225626740947,0.38112197838558426
15,0.13598711458812704,0.07306338028169015,0.1347097892001155,1,0,1,16,0,0,0,1,0.21580547112462006,0.3203342618384401,0.4667801278715651
16,0.11251725724804418,0.03374413145539906,0.12460294542304359,1,0,1,17,1,1,0,2,0.14589665653495443,0.39554317548746515,0.48247803094769626
17,0.07604693971468016,0.0020539906103286387,0.0944267975743575,1,0,1,18,0,2,1,2,0.19756838905775076,0.8467966573816155,0.3496699476521037
18,0.1872986654394846,0.022300469483568074,0.22408316488593705,1,0,1,19,0,3,1,2,0.2917933130699088,0.6796657381615598,0.5226786065187342
19,0.21916705016106766,0.023767605633802816,0.2633554721339879,1,0,1,20,0,4,1,2,0.2522796352583586,0.39554317548746515,0.4877828201856367
20,0.17498849516797058,0.02142018779342723,0.2090672827028588,1,0,1,21,0,5,1,1,0.14893617021276595,0.2827298050139276,0.9300959781713687
21,0.11033133916244822,0.0267018779342723,0.1253248628356916,1,0,1,22,0,6,0,1,0.0,0.2033426183844011,0.4204988638417751
22,0.11090658076392085,0.04342723004694836,0.11781692174415247,1,0,1,23,0,0,0,1,0.04863221884498481,0.25487465181058494,0.6303008886576186
23,0.16037735849056606,0.02464788732394366,0.1891423621137742,1,0,1,24,0,1,1,1,0.04863221884498481,0.3314763231197772,0.38215369945093886
24,0.22583985273815005,0.0539906103286385,0.25685821542015597,1,0,1,25,0,2,1,2,0.20668693009118538,0.5055710306406684,0.30193808942688316
25,0.05568338702254947,0.009389671361502348,0.06526133410337857,1,0,1,26,0,3,1,3,0.19756838905775076,0.8467966573816155,0.7631314617856984
26,0.047054763000460194,0.003814553990610329,0.057175859081721056,1,0,1,27,0,4,1,1,0.17021276595744683,0.6044568245125348,0.25707368484379267
27,0.13173032673722965,0.01056338028169014,0.16012128212532487,1,0,1,28,0,5,1,2,0.17933130699088146,0.7506963788300833,0.28367634544720055
28,0.12379199263690752,0.03550469483568075,0.13788622581576668,1,0,1,29,0,6,0,1,0.17325227963525835,0.5543175487465182,0.3457061146762181
29,0.12356189599631848,0.040492957746478875,0.1351429396477043,1,0,1,30,0,0,0,1,0.19756838905775076,0.6518105849582172,0.14503383735859166
30,0.17015646571560056,0.011737089201877935,0.20776783136009241,1,0,1,31,0,1,1,2,0.15197568389057753,0.48746518105849573,0.4632913926069736
31,0.15393465255407274,0.013204225352112676,0.186687842910771,1,0,2,1,0,2,1,2,0.16717325227963525,0.8022284122562673,0.08664573425507911
32,0.17303267372296366,0.020539906103286383,0.20704591394744443,1,0,2,2,0,3,1,2,0.2522796352583586,0.7256267409470751,0.6800821328682436
33,0.17579383341003224,0.017312206572769953,0.21209933583598037,1,0,2,3,0,4,1,1,0.16109422492401215,0.25626740947075205,0.7178762963631411
